id,feature,previous_category,decision,implemented_or_available,remaining_boundary
F007,Cross-laboratory geography and biological-sample selection,2,A,Supplied laboratory/country/lane context import and stratified counts implemented.,Archive omissions and true independence cannot be inferred from missing labels.
F008,Study negative-control selection,2,A,Control labels require an explicit evidence source; control strata retain unknown observations.,Authentic negative-control selection still needs study evidence.
F010,SRA Toolkit conversion when FASTQ unavailable,3,B,"Conditional local fasterq-dump conversion adapter, deterministic gzip, syntax/count checks and resume implemented.",Requires SRA Toolkit; real Windows 3.4.1 paired yeast conversion and verified reuse passed. Other layouts/failure paths use fixtures. Remote automatic fallback remains unregistered; a tested fallback API and diagnostics are provided.
F016,Library strand and mixed-assay inference,2,A,Explicit supplied strand and RNA/DNA/mixed context with validated enums and unknown handling implemented.,No strand/mixed-library inference without evidence.
F022,SPAdes runtime integration,3,A,"Registered arbitrary-input SPAdes stage with validated canonical contigs, retained raw outputs, provenance and verified reuse; fixed artificial diagnostic is preserved.",Compatible SPAdes is an external dependency; software execution does not validate biological assembly quality.
F027,Contig assembly reliability assessment,2,A,"Supplied sequence descriptors, optional alignment coverage and pair-flag summaries provide reviewable evidence.",No automatic reliable-assembly verdict or biological benchmark.
F031,Human microbial bacterial vector adapter contaminant references,2,A,"Immutable supplied reference snapshots with local/HTTPS retrieval, exact hashes, versions and bounded sizes implemented.",Comprehensive biological reference selection still needs independently curated sources.
F032,Reagent cell-line and synthetic-construct reference coverage,2,A,Supplied reference roles/provenance can be snapshotted and compared with local BLAST.,Reagent/cell-line/synthetic source attribution and complete database coverage are not inferred.
F033,BLAST database comparison execution,2,A,Executable BLAST+ builds a local database from supplied documented references and exports descriptive matches; live artificial fixture passed.,BLAST required; no comprehensive biological database or classification inference.
F038,Aggressive automatic contamination rejection,2,C,Descriptive reference/control evidence remains available; no arbitrary rejection rule or probability added.,Validated aggressive rejection cannot be supplied from unlabelled evidence and missing truth sets.
F039,Index hopping lane-specific artefact discrimination,2,A,Lane/laboratory/control-stratified supplied observations implemented.,Index hopping is not established by lane association; causal discrimination remains unvalidated.
F040,Environmental inconsistency and reagent origin inference,2,C,Context and reference provenance can now be reviewed together.,Environmental inconsistency and reagent origin require external contextual/causal evidence; software cannot invent it.
F041,Low complexity repetitive sequence screening,2,A,Longest identical-symbol run and called-dinucleotide diversity/concentration added with tests.,No universal low-complexity artefact threshold or automatic rejection.
F042,Sequencing artefact filtering,2,A,Existing QC is preserved; additional descriptive sequence-quality stage and resumable handoff implemented.,Exhaustive sequencing-artefact classification lacks validated ground truth.
F045,BAM and CRAM file support,3,B,"Automatic optional pysam/samtools decoding into bounded coverage, explicit CRAM reference, backend provenance and timeout implemented.",Native Windows wheel unavailable; real backend tests run in Linux optional CI. SAM/gzip-SAM remains dependency-free.
F046,Read support paired support and coverage uniformity,2,A,Accepted-primary and first/second/proper-pair/mate-unmapped flag counts now accompany coverage.,"Flags are not verified pairs, unique molecules or reliable assembly evidence."
F056,Independent studies laboratories geography association,2,A,Study/laboratory/country/lane strata with explicit unknown context implemented.,Geographic/laboratory recurrence does not prove independent replication.
F057,Abundance/load correlation,2,A,"Within-stratum descriptive Pearson correlation with units, missingness, minimum-pair and constant-value handling implemented.","No inferred normalization, p-values, helper load or causal dependence."
F074,Coverage breadth and study/control heatmaps; genome maps correlation plots trees,2,B,Optional matplotlib scatter SVGs added alongside existing heatmaps/coverage graphics; plotting auto-activates when installed.,Biological genome maps/trees still need unsupported or absent upstream artifacts; numeric reports work without plotting.
F076,Automatic reference database maintenance,2,A,Checksum-pinned snapshots and explicit versioned updates prevent silent database replacement.,Automatic scientific curation/update decisions still require a curated policy and source manifest.
F081,Automatic installation of all external tools,3,B,Pinned portable Windows BLAST installer and optional Python alignment/plot extras implemented; PATH tools activate automatically.,No universal cross-platform installer; SRA/SPAdes runtime coverage remains limited and scientific suitability is separate.
F085,Replit or ChatGPT plugin execution integration,3,C,Standard Python command-line workflow can run in independently configured environments; no provider-specific connector assumed.,No installed/configured Replit integration is available to execute or validate here.
